date,dayOfWeek,dayOfWeekNumber,minutesAsleep
4/9/2014,Wednesday,4,550
4/10/2014,Thursday,5,499
4/11/2014,Friday,6,485
4/12/2014,Saturday,7,498
4/13/2014,Sunday,1,541
4/14/2014,Monday,2,405
4/15/2014,Tuesday,3,453
4/16/2014,Wednesday,4,436
4/17/2014,Thursday,5,411
4/18/2014,Friday,6,405
4/19/2014,Saturday,7,577
4/20/2014,Sunday,1,560
4/21/2014,Monday,2,453
4/22/2014,Tuesday,3,408
4/23/2014,Wednesday,4,395
4/24/2014,Thursday,5,414
4/25/2014,Friday,6,469
4/26/2014,Saturday,7,519
4/27/2014,Sunday,1,509
4/28/2014,Monday,2,467
4/29/2014,Tuesday,3,380
4/30/2014,Wednesday,4,411
5/1/2014,Thursday,5,393
5/2/2014,Friday,6,444
5/3/2014,Saturday,7,412
5/4/2014,Sunday,1,350
5/5/2014,Monday,2,457
5/6/2014,Tuesday,3,429
5/7/2014,Wednesday,4,398
5/8/2014,Thursday,5,421
5/9/2014,Friday,6,389
5/10/2014,Saturday,7,580
5/11/2014,Sunday,1,500
5/12/2014,Monday,2,399
5/13/2014,Tuesday,3,75
5/14/2014,Wednesday,4,411
5/15/2014,Thursday,5,405
5/16/2014,Friday,6,390
5/17/2014,Saturday,7,528
5/18/2014,Sunday,1,497
5/19/2014,Monday,2,422
5/20/2014,Tuesday,3,426
5/21/2014,Wednesday,4,438
5/22/2014,Thursday,5,472
5/23/2014,Friday,6,380
5/24/2014,Saturday,7,375
5/25/2014,Sunday,1,491
5/26/2014,Monday,2,562
5/27/2014,Tuesday,3,422
5/28/2014,Wednesday,4,440
5/29/2014,Thursday,5,416
5/30/2014,Friday,6,414
5/31/2014,Saturday,7,594
6/1/2014,Sunday,1,337
6/2/2014,Monday,2,455
6/3/2014,Tuesday,3,417
6/4/2014,Wednesday,4,422
6/7/2014,Saturday,7,618
6/8/2014,Sunday,1,573
6/9/2014,Monday,2,497
6/10/2014,Tuesday,3,554
6/11/2014,Wednesday,4,441
6/12/2014,Thursday,5,464
6/13/2014,Friday,6,476
6/14/2014,Saturday,7,645
6/15/2014,Sunday,1,565
6/23/2014,Monday,2,472
6/24/2014,Tuesday,3,502
6/25/2014,Wednesday,4,470
6/26/2014,Thursday,5,473
6/27/2014,Friday,6,486
6/28/2014,Saturday,7,523
6/29/2014,Sunday,1,510
6/30/2014,Monday,2,501
7/1/2014,Tuesday,3,554
7/2/2014,Wednesday,4,529
7/3/2014,Thursday,5,511
7/5/2014,Saturday,7,413
7/6/2014,Sunday,1,579
7/12/2014,Saturday,7,639
7/13/2014,Sunday,1,466
7/14/2014,Monday,2,491
7/15/2014,Tuesday,3,512
7/16/2014,Wednesday,4,469
7/17/2014,Thursday,5,511
7/18/2014,Friday,6,480
7/19/2014,Saturday,7,526
7/20/2014,Sunday,1,553
7/21/2014,Monday,2,512
7/22/2014,Tuesday,3,484
7/23/2014,Wednesday,4,449
7/24/2014,Thursday,5,502
7/25/2014,Friday,6,490
7/26/2014,Saturday,7,509
7/27/2014,Sunday,1,528
7/28/2014,Monday,2,475
7/29/2014,Tuesday,3,478
7/30/2014,Wednesday,4,519
7/31/2014,Thursday,5,491
8/1/2014,Friday,6,455
8/2/2014,Saturday,7,637
8/3/2014,Sunday,1,620
8/4/2014,Monday,2,471
8/5/2014,Tuesday,3,526
8/6/2014,Wednesday,4,586
8/7/2014,Thursday,5,487
8/8/2014,Friday,6,634
8/9/2014,Saturday,7,586
8/10/2014,Sunday,1,620
8/11/2014,Monday,2,638
8/12/2014,Tuesday,3,694
8/13/2014,Wednesday,4,550
8/14/2014,Thursday,5,523
8/15/2014,Friday,6,586
8/16/2014,Saturday,7,569
8/17/2014,Sunday,1,659
8/18/2014,Monday,2,551
8/19/2014,Tuesday,3,545
8/20/2014,Wednesday,4,474
