date,dayOfWeek,dayOfWeekNumber,minutesAsleep
9/16/2015,Wednesday,4,359
9/19/2015,Saturday,7,465
9/20/2015,Sunday,1,424
9/21/2015,Monday,2,379
9/22/2015,Tuesday,3,239
9/24/2015,Thursday,5,337
9/25/2015,Friday,6,346
9/27/2015,Sunday,1,454
9/28/2015,Monday,2,365
9/30/2015,Wednesday,4,321
10/2/2015,Friday,6,365
10/3/2015,Saturday,7,339
10/5/2015,Monday,2,321
10/6/2015,Tuesday,3,313
10/7/2015,Wednesday,4,365
10/8/2015,Thursday,5,293
10/9/2015,Friday,6,357
10/10/2015,Saturday,7,561
10/11/2015,Sunday,1,408
10/12/2015,Monday,2,351
10/13/2015,Tuesday,3,325
10/15/2015,Thursday,5,347
10/16/2015,Friday,6,332
10/17/2015,Saturday,7,329
10/18/2015,Sunday,1,315
10/20/2015,Tuesday,3,402
10/21/2015,Wednesday,4,243
10/23/2015,Friday,6,327
10/25/2015,Sunday,1,403
10/26/2015,Monday,2,400
10/29/2015,Thursday,5,291
10/30/2015,Friday,6,400
10/31/2015,Saturday,7,490
11/1/2015,Sunday,1,427
11/2/2015,Monday,2,334
11/3/2015,Tuesday,3,399
11/4/2015,Wednesday,4,279
11/6/2015,Friday,6,347
11/7/2015,Saturday,7,442
11/8/2015,Sunday,1,403
11/9/2015,Monday,2,359
11/11/2015,Wednesday,4,362
11/12/2015,Thursday,5,364
11/13/2015,Friday,6,369
11/14/2015,Saturday,7,537
11/15/2015,Sunday,1,467
11/16/2015,Monday,2,333
11/17/2015,Tuesday,3,360
11/20/2015,Friday,6,374
11/21/2015,Saturday,7,464
11/22/2015,Sunday,1,453
11/23/2015,Monday,2,399
11/24/2015,Tuesday,3,356
11/25/2015,Wednesday,4,407
11/26/2015,Thursday,5,408
11/27/2015,Friday,6,388
11/28/2015,Saturday,7,429
11/29/2015,Sunday,1,420
11/30/2015,Monday,2,333
12/1/2015,Tuesday,3,294
12/6/2015,Sunday,1,378
12/7/2015,Monday,2,288
12/9/2015,Wednesday,4,366
12/11/2015,Friday,6,347
12/12/2015,Saturday,7,364
12/13/2015,Sunday,1,564
12/14/2015,Monday,2,312
12/15/2015,Tuesday,3,430
12/16/2015,Wednesday,4,393
12/17/2015,Thursday,5,416
12/18/2015,Friday,6,348
12/20/2015,Sunday,1,406
12/22/2015,Tuesday,3,355
12/23/2015,Wednesday,4,294
12/24/2015,Thursday,5,375
12/25/2015,Friday,6,343
12/27/2015,Sunday,1,408
12/28/2015,Monday,2,464
12/29/2015,Tuesday,3,233
12/30/2015,Wednesday,4,427
12/31/2015,Thursday,5,359
1/2/2016,Saturday,7,490
1/3/2016,Sunday,1,428
1/4/2016,Monday,2,280
1/5/2016,Tuesday,3,309
1/6/2016,Wednesday,4,240
1/7/2016,Thursday,5,353
1/8/2016,Friday,6,344
1/9/2016,Saturday,7,374
1/10/2016,Sunday,1,378
1/11/2016,Monday,2,307
1/12/2016,Tuesday,3,322
1/13/2016,Wednesday,4,345
1/14/2016,Thursday,5,266
1/15/2016,Friday,6,289
1/16/2016,Saturday,7,475
1/17/2016,Sunday,1,440
1/19/2016,Tuesday,3,350
1/20/2016,Wednesday,4,304
1/21/2016,Thursday,5,184
1/22/2016,Friday,6,250
1/23/2016,Saturday,7,425
1/24/2016,Sunday,1,410
1/25/2016,Monday,2,362
1/26/2016,Tuesday,3,273
1/27/2016,Wednesday,4,338
1/28/2016,Thursday,5,351
1/29/2016,Friday,6,340
1/31/2016,Sunday,1,392
2/1/2016,Monday,2,397
2/2/2016,Tuesday,3,332
2/3/2016,Wednesday,4,312
2/5/2016,Friday,6,320
2/6/2016,Saturday,7,301
2/9/2016,Tuesday,3,468
2/10/2016,Wednesday,4,391
2/11/2016,Thursday,5,301
2/12/2016,Friday,6,414
2/13/2016,Saturday,7,338
2/14/2016,Sunday,1,381
2/15/2016,Monday,2,356
2/16/2016,Tuesday,3,388
2/17/2016,Wednesday,4,352
2/18/2016,Thursday,5,346
2/19/2016,Friday,6,247
2/20/2016,Saturday,7,427
2/21/2016,Sunday,1,251
2/22/2016,Monday,2,274
2/23/2016,Tuesday,3,334
2/24/2016,Wednesday,4,342
2/25/2016,Thursday,5,239
3/2/2016,Wednesday,4,384
3/3/2016,Thursday,5,183
3/4/2016,Friday,6,281
3/5/2016,Saturday,7,461
3/6/2016,Sunday,1,411
3/7/2016,Monday,2,446
3/8/2016,Tuesday,3,268
3/9/2016,Wednesday,4,339
3/10/2016,Thursday,5,313
3/11/2016,Friday,6,357
3/13/2016,Sunday,1,159
3/17/2016,Thursday,5,389
3/18/2016,Friday,6,326
3/19/2016,Saturday,7,420
3/20/2016,Sunday,1,480
3/21/2016,Monday,2,322
3/22/2016,Tuesday,3,365
3/23/2016,Wednesday,4,294
3/24/2016,Thursday,5,397
3/25/2016,Friday,6,456
3/26/2016,Saturday,7,395
3/27/2016,Sunday,1,495
3/28/2016,Monday,2,356
3/29/2016,Tuesday,3,334
3/30/2016,Wednesday,4,354
3/31/2016,Thursday,5,294
4/2/2016,Saturday,7,294
4/3/2016,Sunday,1,440
4/4/2016,Monday,2,264
4/5/2016,Tuesday,3,257
4/6/2016,Wednesday,4,340
4/7/2016,Thursday,5,327
4/8/2016,Friday,6,381
4/9/2016,Saturday,7,392
4/10/2016,Sunday,1,435
4/11/2016,Monday,2,307
4/12/2016,Tuesday,3,718
4/13/2016,Wednesday,4,381
4/14/2016,Thursday,5,346
4/15/2016,Friday,6,233
4/16/2016,Saturday,7,398
4/17/2016,Sunday,1,439
4/18/2016,Monday,2,343
4/19/2016,Tuesday,3,340
4/20/2016,Wednesday,4,416
4/21/2016,Thursday,5,417
4/23/2016,Saturday,7,414
4/24/2016,Sunday,1,497
4/25/2016,Monday,2,342
4/26/2016,Tuesday,3,310
4/27/2016,Wednesday,4,353
4/28/2016,Thursday,5,329
4/29/2016,Friday,6,374
4/30/2016,Saturday,7,346
5/9/2016,Monday,2,295
5/11/2016,Wednesday,4,307
5/12/2016,Thursday,5,358
5/13/2016,Friday,6,388
5/15/2016,Sunday,1,347
5/16/2016,Monday,2,310
5/17/2016,Tuesday,3,345
5/18/2016,Wednesday,4,304
5/19/2016,Thursday,5,301
5/21/2016,Saturday,7,369
5/22/2016,Sunday,1,384
5/23/2016,Monday,2,401
5/24/2016,Tuesday,3,335
5/25/2016,Wednesday,4,321
5/26/2016,Thursday,5,306
5/27/2016,Friday,6,326
5/28/2016,Saturday,7,440
5/29/2016,Sunday,1,469
5/30/2016,Monday,2,440
5/31/2016,Tuesday,3,236
6/1/2016,Wednesday,4,347
6/2/2016,Thursday,5,303
6/3/2016,Friday,6,354
6/5/2016,Sunday,1,464
6/6/2016,Monday,2,375
6/7/2016,Tuesday,3,403
6/8/2016,Wednesday,4,407
6/10/2016,Friday,6,293
6/11/2016,Saturday,7,375
6/12/2016,Sunday,1,459
6/13/2016,Monday,2,373
6/14/2016,Tuesday,3,379
6/15/2016,Wednesday,4,329
6/16/2016,Thursday,5,273
6/17/2016,Friday,6,391
6/18/2016,Saturday,7,405
6/19/2016,Sunday,1,439
6/20/2016,Monday,2,325
6/22/2016,Wednesday,4,266
6/23/2016,Thursday,5,406
6/26/2016,Sunday,1,419
6/27/2016,Monday,2,386
6/28/2016,Tuesday,3,325
6/29/2016,Wednesday,4,285
6/30/2016,Thursday,5,321
7/2/2016,Saturday,7,388
7/3/2016,Sunday,1,373
7/6/2016,Wednesday,4,348
7/7/2016,Thursday,5,418
7/8/2016,Friday,6,322
7/9/2016,Saturday,7,467
7/10/2016,Sunday,1,470
7/11/2016,Monday,2,389
7/12/2016,Tuesday,3,385
7/13/2016,Wednesday,4,401
7/14/2016,Thursday,5,349
7/15/2016,Friday,6,401
7/16/2016,Saturday,7,321
7/17/2016,Sunday,1,453
7/18/2016,Monday,2,397
7/19/2016,Tuesday,3,335
7/20/2016,Wednesday,4,368
7/21/2016,Thursday,5,361
7/22/2016,Friday,6,457
7/23/2016,Saturday,7,374
7/25/2016,Monday,2,427
7/26/2016,Tuesday,3,324
7/27/2016,Wednesday,4,400
7/28/2016,Thursday,5,420
7/29/2016,Friday,6,301
7/30/2016,Saturday,7,454
7/31/2016,Sunday,1,349
8/1/2016,Monday,2,354
8/2/2016,Tuesday,3,342
8/3/2016,Wednesday,4,361
8/4/2016,Thursday,5,378
8/5/2016,Friday,6,435
8/6/2016,Saturday,7,439
8/7/2016,Sunday,1,382
8/8/2016,Monday,2,441
8/9/2016,Tuesday,3,521
8/10/2016,Wednesday,4,373
8/11/2016,Thursday,5,449
8/12/2016,Friday,6,310
8/13/2016,Saturday,7,453
8/14/2016,Sunday,1,406
8/15/2016,Monday,2,302
8/16/2016,Tuesday,3,352
8/17/2016,Wednesday,4,339
8/18/2016,Thursday,5,367
8/19/2016,Friday,6,360
8/20/2016,Saturday,7,496
8/21/2016,Sunday,1,369
8/22/2016,Monday,2,327
8/23/2016,Tuesday,3,291
8/24/2016,Wednesday,4,341
8/25/2016,Thursday,5,282
8/26/2016,Friday,6,342
8/27/2016,Saturday,7,321
8/28/2016,Sunday,1,485
8/29/2016,Monday,2,330
8/30/2016,Tuesday,3,389
8/31/2016,Wednesday,4,315
9/1/2016,Thursday,5,322
9/2/2016,Friday,6,380
9/3/2016,Saturday,7,463
9/4/2016,Sunday,1,395
9/5/2016,Monday,2,345
9/6/2016,Tuesday,3,372
9/7/2016,Wednesday,4,380
9/9/2016,Friday,6,366
9/10/2016,Saturday,7,385
9/11/2016,Sunday,1,336
9/12/2016,Monday,2,294
9/13/2016,Tuesday,3,431
9/14/2016,Wednesday,4,320
9/15/2016,Thursday,5,272
9/16/2016,Friday,6,410
9/17/2016,Saturday,7,329
9/19/2016,Monday,2,308
9/20/2016,Tuesday,3,365
9/21/2016,Wednesday,4,172
9/24/2016,Saturday,7,480
9/25/2016,Sunday,1,348
9/26/2016,Monday,2,323
9/28/2016,Wednesday,4,356
9/29/2016,Thursday,5,341
9/30/2016,Friday,6,452
10/1/2016,Saturday,7,340
10/2/2016,Sunday,1,384
10/3/2016,Monday,2,376
10/4/2016,Tuesday,3,315
10/5/2016,Wednesday,4,341
10/6/2016,Thursday,5,431
10/7/2016,Friday,6,356
10/8/2016,Saturday,7,461
10/9/2016,Sunday,1,366
10/11/2016,Tuesday,3,259
10/12/2016,Wednesday,4,284
10/13/2016,Thursday,5,321
10/14/2016,Friday,6,318
10/15/2016,Saturday,7,274
10/16/2016,Sunday,1,262
10/18/2016,Tuesday,3,313
10/19/2016,Wednesday,4,254
10/20/2016,Thursday,5,262
10/21/2016,Friday,6,336
10/22/2016,Saturday,7,223
10/24/2016,Monday,2,652
10/25/2016,Tuesday,3,458
10/27/2016,Thursday,5,556
10/28/2016,Friday,6,411
10/30/2016,Sunday,1,580
11/1/2016,Tuesday,3,320
11/2/2016,Wednesday,4,278
11/3/2016,Thursday,5,371
11/4/2016,Friday,6,337
11/5/2016,Saturday,7,310
11/6/2016,Sunday,1,489
11/7/2016,Monday,2,308
11/8/2016,Tuesday,3,367
11/10/2016,Thursday,5,274
11/11/2016,Friday,6,395
11/12/2016,Saturday,7,385
11/13/2016,Sunday,1,283
11/14/2016,Monday,2,328
11/16/2016,Wednesday,4,374
11/17/2016,Thursday,5,413
11/18/2016,Friday,6,413
11/19/2016,Saturday,7,420
11/20/2016,Sunday,1,403
11/21/2016,Monday,2,329
11/22/2016,Tuesday,3,482
11/23/2016,Wednesday,4,357
11/24/2016,Thursday,5,363
11/25/2016,Friday,6,379
11/26/2016,Saturday,7,311
11/27/2016,Sunday,1,556
11/28/2016,Monday,2,312
11/29/2016,Tuesday,3,405
11/30/2016,Wednesday,4,272
12/1/2016,Thursday,5,362
12/2/2016,Friday,6,373
12/3/2016,Saturday,7,478
12/4/2016,Sunday,1,391
12/6/2016,Tuesday,3,326
12/7/2016,Wednesday,4,299
12/8/2016,Thursday,5,392
12/9/2016,Friday,6,366
12/10/2016,Saturday,7,382
12/12/2016,Monday,2,383
12/13/2016,Tuesday,3,303
12/14/2016,Wednesday,4,366
12/15/2016,Thursday,5,328
12/16/2016,Friday,6,330
12/17/2016,Saturday,7,408
12/18/2016,Sunday,1,303
12/20/2016,Tuesday,3,300
12/21/2016,Wednesday,4,413
12/22/2016,Thursday,5,325
12/23/2016,Friday,6,310
12/24/2016,Saturday,7,391
12/25/2016,Sunday,1,223
12/26/2016,Monday,2,443
12/27/2016,Tuesday,3,458
12/28/2016,Wednesday,4,388
12/30/2016,Friday,6,390
1/1/2017,Sunday,1,381
1/2/2017,Monday,2,428
1/3/2017,Tuesday,3,343
1/4/2017,Wednesday,4,358
1/5/2017,Thursday,5,285
1/6/2017,Friday,6,365
1/7/2017,Saturday,7,379
1/8/2017,Sunday,1,315
1/9/2017,Monday,2,442
1/10/2017,Tuesday,3,312
1/11/2017,Wednesday,4,370
1/12/2017,Thursday,5,280
1/13/2017,Friday,6,423
1/14/2017,Saturday,7,390
1/15/2017,Sunday,1,510
1/16/2017,Monday,2,370
1/18/2017,Wednesday,4,340
1/19/2017,Thursday,5,325
1/20/2017,Friday,6,311
1/21/2017,Saturday,7,469
1/22/2017,Sunday,1,400
1/23/2017,Monday,2,394
1/24/2017,Tuesday,3,319
1/25/2017,Wednesday,4,365
1/26/2017,Thursday,5,361
1/27/2017,Friday,6,288
1/28/2017,Saturday,7,410
1/30/2017,Monday,2,313
2/2/2017,Thursday,5,427
2/3/2017,Friday,6,372
2/4/2017,Saturday,7,427
2/6/2017,Monday,2,345
2/7/2017,Tuesday,3,313
2/8/2017,Wednesday,4,343
2/9/2017,Thursday,5,352
2/10/2017,Friday,6,391
2/11/2017,Saturday,7,426
2/12/2017,Sunday,1,417
2/13/2017,Monday,2,390
2/14/2017,Tuesday,3,404
2/15/2017,Wednesday,4,381
2/17/2017,Friday,6,300
2/18/2017,Saturday,7,536
2/19/2017,Sunday,1,524
2/20/2017,Monday,2,359
2/27/2017,Monday,2,359
2/28/2017,Tuesday,3,405
3/1/2017,Wednesday,4,248
3/3/2017,Friday,6,259
3/4/2017,Saturday,7,373
3/6/2017,Monday,2,439
3/7/2017,Tuesday,3,356
3/8/2017,Wednesday,4,379
3/9/2017,Thursday,5,422
3/10/2017,Friday,6,384
3/12/2017,Sunday,1,429
3/13/2017,Monday,2,326
3/14/2017,Tuesday,3,379
3/15/2017,Wednesday,4,342
3/16/2017,Thursday,5,309
3/17/2017,Friday,6,313
3/20/2017,Monday,2,218
3/22/2017,Wednesday,4,293
3/24/2017,Friday,6,320
3/25/2017,Saturday,7,445
3/26/2017,Sunday,1,437
3/28/2017,Tuesday,3,299
3/29/2017,Wednesday,4,296
3/30/2017,Thursday,5,353
4/1/2017,Saturday,7,495
4/2/2017,Sunday,1,440
4/3/2017,Monday,2,284
4/4/2017,Tuesday,3,294
4/5/2017,Wednesday,4,362
4/6/2017,Thursday,5,272
4/7/2017,Friday,6,340
4/8/2017,Saturday,7,356
4/9/2017,Sunday,1,417
4/10/2017,Monday,2,377
4/11/2017,Tuesday,3,355
4/12/2017,Wednesday,4,398
4/13/2017,Thursday,5,334
4/15/2017,Saturday,7,500
4/16/2017,Sunday,1,403
4/17/2017,Monday,2,305
4/18/2017,Tuesday,3,320
4/20/2017,Thursday,5,351
4/21/2017,Friday,6,329
4/22/2017,Saturday,7,412
4/23/2017,Sunday,1,431
4/24/2017,Monday,2,385
4/25/2017,Tuesday,3,258
4/26/2017,Wednesday,4,302
4/28/2017,Friday,6,262
4/30/2017,Sunday,1,480
5/1/2017,Monday,2,322
5/2/2017,Tuesday,3,337
5/3/2017,Wednesday,4,348
5/5/2017,Friday,6,369
5/6/2017,Saturday,7,347
5/7/2017,Sunday,1,256
5/8/2017,Monday,2,321
5/11/2017,Thursday,5,337
5/12/2017,Friday,6,402
5/13/2017,Saturday,7,372
5/14/2017,Sunday,1,487
5/15/2017,Monday,2,369
5/16/2017,Tuesday,3,334
5/18/2017,Thursday,5,503
5/19/2017,Friday,6,308
5/20/2017,Saturday,7,403
5/21/2017,Sunday,1,486
5/22/2017,Monday,2,333
5/23/2017,Tuesday,3,320
5/24/2017,Wednesday,4,310
5/25/2017,Thursday,5,318
5/26/2017,Friday,6,383
5/27/2017,Saturday,7,323
5/29/2017,Monday,2,480
5/30/2017,Tuesday,3,326
5/31/2017,Wednesday,4,320
6/1/2017,Thursday,5,322
6/2/2017,Friday,6,246
6/3/2017,Saturday,7,419
6/4/2017,Sunday,1,396
6/5/2017,Monday,2,341
6/6/2017,Tuesday,3,265
6/8/2017,Thursday,5,310
6/9/2017,Friday,6,394
6/10/2017,Saturday,7,464
6/11/2017,Sunday,1,435
6/12/2017,Monday,2,400
6/13/2017,Tuesday,3,241
6/15/2017,Thursday,5,502
6/16/2017,Friday,6,392
6/17/2017,Saturday,7,339
6/18/2017,Sunday,1,436
6/19/2017,Monday,2,461
6/20/2017,Tuesday,3,424
6/21/2017,Wednesday,4,398
6/22/2017,Thursday,5,364
6/23/2017,Friday,6,349
6/26/2017,Monday,2,455
6/27/2017,Tuesday,3,365
6/29/2017,Thursday,5,343
6/30/2017,Friday,6,367
7/1/2017,Saturday,7,252
7/2/2017,Sunday,1,524
7/3/2017,Monday,2,386
7/4/2017,Tuesday,3,419
7/5/2017,Wednesday,4,462
7/6/2017,Thursday,5,412
7/7/2017,Friday,6,208
7/8/2017,Saturday,7,363
7/9/2017,Sunday,1,483
7/11/2017,Tuesday,3,328
7/14/2017,Friday,6,230
7/15/2017,Saturday,7,371
7/16/2017,Sunday,1,476
7/17/2017,Monday,2,410
7/18/2017,Tuesday,3,298
7/19/2017,Wednesday,4,324
7/20/2017,Thursday,5,372
7/21/2017,Friday,6,346
7/22/2017,Saturday,7,364
7/23/2017,Sunday,1,353
7/24/2017,Monday,2,380
7/26/2017,Wednesday,4,442
7/27/2017,Thursday,5,416
7/28/2017,Friday,6,321
7/29/2017,Saturday,7,386
7/30/2017,Sunday,1,410
7/31/2017,Monday,2,417
8/1/2017,Tuesday,3,373
8/2/2017,Wednesday,4,437
8/3/2017,Thursday,5,379
8/4/2017,Friday,6,387
8/5/2017,Saturday,7,407
8/6/2017,Sunday,1,362
8/7/2017,Monday,2,430
8/8/2017,Tuesday,3,366
8/9/2017,Wednesday,4,437
8/10/2017,Thursday,5,388
8/11/2017,Friday,6,382
8/14/2017,Monday,2,411
8/15/2017,Tuesday,3,345
8/16/2017,Wednesday,4,384
8/17/2017,Thursday,5,375
8/18/2017,Friday,6,309
8/19/2017,Saturday,7,420
8/20/2017,Sunday,1,380
8/21/2017,Monday,2,279
8/22/2017,Tuesday,3,362
8/23/2017,Wednesday,4,334
8/24/2017,Thursday,5,314
8/25/2017,Friday,6,369
8/26/2017,Saturday,7,404
8/27/2017,Sunday,1,439
8/28/2017,Monday,2,319
8/29/2017,Tuesday,3,337
8/30/2017,Wednesday,4,339
8/31/2017,Thursday,5,315
9/1/2017,Friday,6,414
9/2/2017,Saturday,7,394
9/3/2017,Sunday,1,418
9/4/2017,Monday,2,337
9/5/2017,Tuesday,3,382
9/6/2017,Wednesday,4,315
9/8/2017,Friday,6,464
9/9/2017,Saturday,7,405
9/10/2017,Sunday,1,438
9/11/2017,Monday,2,326
9/12/2017,Tuesday,3,227
9/16/2017,Saturday,7,399
9/17/2017,Sunday,1,433
9/18/2017,Monday,2,379
9/22/2017,Friday,6,408
9/23/2017,Saturday,7,442
9/24/2017,Sunday,1,419
9/25/2017,Monday,2,377
9/26/2017,Tuesday,3,275
9/27/2017,Wednesday,4,316
9/28/2017,Thursday,5,393
9/29/2017,Friday,6,194
9/29/2017,Friday,6,274
10/1/2017,Sunday,1,347
10/2/2017,Monday,2,280
10/3/2017,Tuesday,3,297
10/4/2017,Wednesday,4,370
10/5/2017,Thursday,5,362
10/6/2017,Friday,6,307
10/7/2017,Saturday,7,292
10/8/2017,Sunday,1,451
10/9/2017,Monday,2,318
10/10/2017,Tuesday,3,401
10/11/2017,Wednesday,4,254
10/12/2017,Thursday,5,366
10/14/2017,Saturday,7,388
10/15/2017,Sunday,1,675
10/16/2017,Monday,2,322
10/17/2017,Tuesday,3,360
10/18/2017,Wednesday,4,396
10/19/2017,Thursday,5,342
10/20/2017,Friday,6,352
10/21/2017,Saturday,7,481
10/24/2017,Tuesday,3,303
10/25/2017,Wednesday,4,353
10/26/2017,Thursday,5,424
10/27/2017,Friday,6,314
10/27/2017,Friday,6,381
10/29/2017,Sunday,1,586
10/30/2017,Monday,2,289
10/31/2017,Tuesday,3,286
11/1/2017,Wednesday,4,365
11/7/2017,Tuesday,3,155
11/8/2017,Wednesday,4,397
11/9/2017,Thursday,5,402
11/12/2017,Sunday,1,388
11/13/2017,Monday,2,370
11/14/2017,Tuesday,3,368
11/15/2017,Wednesday,4,259
11/16/2017,Thursday,5,458
11/17/2017,Friday,6,288
11/18/2017,Saturday,7,272
11/19/2017,Sunday,1,377
11/20/2017,Monday,2,376
11/21/2017,Tuesday,3,352
11/23/2017,Thursday,5,374
11/24/2017,Friday,6,257
11/24/2017,Friday,6,397
11/25/2017,Saturday,7,450
11/26/2017,Sunday,1,468
11/27/2017,Monday,2,305
11/28/2017,Tuesday,3,369
11/29/2017,Wednesday,4,328
12/1/2017,Friday,6,282
12/2/2017,Saturday,7,333
12/3/2017,Sunday,1,516
12/4/2017,Monday,2,411
12/5/2017,Tuesday,3,379
12/6/2017,Wednesday,4,290
12/7/2017,Thursday,5,283
12/9/2017,Saturday,7,407
12/11/2017,Monday,2,293
12/13/2017,Wednesday,4,395
12/18/2017,Monday,2,183
12/21/2017,Thursday,5,231
12/22/2017,Friday,6,311
12/23/2017,Saturday,7,443
12/24/2017,Sunday,1,571
12/25/2017,Monday,2,328
12/26/2017,Tuesday,3,383
12/27/2017,Wednesday,4,294
12/29/2017,Friday,6,322
12/30/2017,Saturday,7,384
12/31/2017,Sunday,1,347
1/1/2018,Monday,2,537
1/2/2018,Tuesday,3,266
1/3/2018,Wednesday,4,284
1/4/2018,Thursday,5,284
1/5/2018,Friday,6,317
1/6/2018,Saturday,7,440
1/7/2018,Sunday,1,419
1/8/2018,Monday,2,288
1/9/2018,Tuesday,3,323
1/10/2018,Wednesday,4,287
1/11/2018,Thursday,5,371
1/12/2018,Friday,6,302
1/13/2018,Saturday,7,504
1/14/2018,Sunday,1,492
1/15/2018,Monday,2,389
1/16/2018,Tuesday,3,399
1/17/2018,Wednesday,4,329
1/18/2018,Thursday,5,304
1/19/2018,Friday,6,348
1/20/2018,Saturday,7,248
1/21/2018,Sunday,1,643
1/22/2018,Monday,2,319
1/23/2018,Tuesday,3,359
1/24/2018,Wednesday,4,275
1/25/2018,Thursday,5,415
1/26/2018,Friday,6,332
1/28/2018,Sunday,1,440
1/29/2018,Monday,2,309
1/30/2018,Tuesday,3,388
2/1/2018,Thursday,5,372
2/2/2018,Friday,6,364
2/3/2018,Saturday,7,421
2/5/2018,Monday,2,287
2/6/2018,Tuesday,3,315
2/7/2018,Wednesday,4,307
2/8/2018,Thursday,5,302
2/9/2018,Friday,6,429
2/10/2018,Saturday,7,373
2/12/2018,Monday,2,450
2/13/2018,Tuesday,3,340
2/14/2018,Wednesday,4,306
2/15/2018,Thursday,5,343
2/16/2018,Friday,6,456
2/17/2018,Saturday,7,335
2/19/2018,Monday,2,382
2/20/2018,Tuesday,3,298
2/23/2018,Friday,6,336
2/24/2018,Saturday,7,408
2/25/2018,Sunday,1,387
2/26/2018,Monday,2,276
2/27/2018,Tuesday,3,342
2/28/2018,Wednesday,4,306
3/1/2018,Thursday,5,345
3/3/2018,Saturday,7,410
3/4/2018,Sunday,1,285
3/5/2018,Monday,2,332
3/6/2018,Tuesday,3,449
3/7/2018,Wednesday,4,342
3/8/2018,Thursday,5,365
3/9/2018,Friday,6,407
3/10/2018,Saturday,7,449
3/11/2018,Sunday,1,347
3/12/2018,Monday,2,832
3/13/2018,Tuesday,3,379
3/14/2018,Wednesday,4,328
3/15/2018,Thursday,5,299
3/16/2018,Friday,6,454
3/17/2018,Saturday,7,417
3/18/2018,Sunday,1,397
3/20/2018,Tuesday,3,302
3/22/2018,Thursday,5,148
3/23/2018,Friday,6,251
3/24/2018,Saturday,7,516
3/25/2018,Sunday,1,378
3/26/2018,Monday,2,347
3/27/2018,Tuesday,3,363
3/28/2018,Wednesday,4,352
3/29/2018,Thursday,5,300
3/30/2018,Friday,6,366
3/31/2018,Saturday,7,359
4/1/2018,Sunday,1,450
4/2/2018,Monday,2,395
4/3/2018,Tuesday,3,363
4/4/2018,Wednesday,4,393
4/5/2018,Thursday,5,222
4/6/2018,Friday,6,454
4/7/2018,Saturday,7,484
4/8/2018,Sunday,1,400
4/9/2018,Monday,2,315
4/10/2018,Tuesday,3,362
4/11/2018,Wednesday,4,302
4/12/2018,Thursday,5,357
4/13/2018,Friday,6,291
4/14/2018,Saturday,7,358
4/15/2018,Sunday,1,454
4/16/2018,Monday,2,338
4/17/2018,Tuesday,3,324
4/18/2018,Wednesday,4,238
4/19/2018,Thursday,5,340
4/20/2018,Friday,6,340
4/21/2018,Saturday,7,557
4/22/2018,Sunday,1,478
4/23/2018,Monday,2,293
4/24/2018,Tuesday,3,327
4/25/2018,Wednesday,4,331
4/27/2018,Friday,6,340
4/28/2018,Saturday,7,500
4/29/2018,Sunday,1,350
4/30/2018,Monday,2,325
5/1/2018,Tuesday,3,302
5/2/2018,Wednesday,4,307
5/3/2018,Thursday,5,307
5/4/2018,Friday,6,309
5/5/2018,Saturday,7,170
5/5/2018,Saturday,7,385
5/6/2018,Sunday,1,348
5/7/2018,Monday,2,331
5/8/2018,Tuesday,3,323
5/9/2018,Wednesday,4,351
5/10/2018,Thursday,5,402
5/11/2018,Friday,6,336
5/12/2018,Saturday,7,402
5/13/2018,Sunday,1,452
5/14/2018,Monday,2,288
5/15/2018,Tuesday,3,388
5/16/2018,Wednesday,4,304
5/17/2018,Thursday,5,311
5/20/2018,Sunday,1,438
5/23/2018,Wednesday,4,393
5/25/2018,Friday,6,299
5/27/2018,Sunday,1,492
5/28/2018,Monday,2,548
5/29/2018,Tuesday,3,335
5/30/2018,Wednesday,4,325
5/31/2018,Thursday,5,277
6/1/2018,Friday,6,364
6/2/2018,Saturday,7,346
6/3/2018,Sunday,1,381
6/4/2018,Monday,2,360
6/8/2018,Friday,6,330
6/9/2018,Saturday,7,388
6/10/2018,Sunday,1,462
6/12/2018,Tuesday,3,324
6/15/2018,Friday,6,271
6/16/2018,Saturday,7,354
6/17/2018,Sunday,1,397
6/18/2018,Monday,2,363
6/19/2018,Tuesday,3,426
6/21/2018,Thursday,5,413
6/23/2018,Saturday,7,387
6/24/2018,Sunday,1,394
6/25/2018,Monday,2,332
