date,dayOfWeek,dayOfWeekNumber,minutesAsleep
8/6/2013,Tuesday,3,83
8/6/2013,Tuesday,3,547
8/7/2013,Wednesday,4,500
8/8/2013,Thursday,5,410
8/9/2013,Friday,6,504
8/10/2013,Saturday,7,372
8/11/2013,Sunday,1,400
8/12/2013,Monday,2,278
8/13/2013,Tuesday,3,468
8/14/2013,Wednesday,4,395
8/15/2013,Thursday,5,389
8/16/2013,Friday,6,388
8/17/2013,Saturday,7,510
8/18/2013,Sunday,1,305
8/20/2013,Tuesday,3,277
8/21/2013,Wednesday,4,288
8/22/2013,Thursday,5,391
8/24/2013,Saturday,7,439
8/25/2013,Sunday,1,500
8/26/2013,Monday,2,377
8/27/2013,Tuesday,3,428
8/28/2013,Wednesday,4,316
8/29/2013,Thursday,5,339
8/30/2013,Friday,6,328
8/31/2013,Saturday,7,515
9/1/2013,Sunday,1,500
9/2/2013,Monday,2,436
9/3/2013,Tuesday,3,328
9/4/2013,Wednesday,4,334
9/6/2013,Friday,6,342
9/8/2013,Sunday,1,397
9/9/2013,Monday,2,369
9/10/2013,Tuesday,3,311
9/11/2013,Wednesday,4,327
9/12/2013,Thursday,5,258
9/12/2013,Thursday,5,121
9/13/2013,Friday,6,248
9/14/2013,Saturday,7,184
9/14/2013,Saturday,7,340
9/15/2013,Sunday,1,442
9/16/2013,Monday,2,310
9/17/2013,Tuesday,3,312
9/18/2013,Wednesday,4,351
9/19/2013,Thursday,5,347
9/20/2013,Friday,6,303
9/21/2013,Saturday,7,525
9/22/2013,Sunday,1,424
9/23/2013,Monday,2,399
9/24/2013,Tuesday,3,310
9/25/2013,Wednesday,4,367
9/28/2013,Saturday,7,391
9/29/2013,Sunday,1,416
9/30/2013,Monday,2,350
10/2/2013,Wednesday,4,298
10/3/2013,Thursday,5,201
10/4/2013,Friday,6,312
10/5/2013,Saturday,7,463
10/6/2013,Sunday,1,510
10/7/2013,Monday,2,232
10/7/2013,Monday,2,337
10/8/2013,Tuesday,3,397
10/9/2013,Wednesday,4,380
10/10/2013,Thursday,5,329
10/11/2013,Friday,6,373
10/12/2013,Saturday,7,477
10/13/2013,Sunday,1,441
10/14/2013,Monday,2,404
10/15/2013,Tuesday,3,319
10/16/2013,Wednesday,4,391
10/17/2013,Thursday,5,334
10/18/2013,Friday,6,284
10/19/2013,Saturday,7,408
10/21/2013,Monday,2,331
10/22/2013,Tuesday,3,345
10/23/2013,Wednesday,4,332
10/24/2013,Thursday,5,290
10/25/2013,Friday,6,281
10/26/2013,Saturday,7,462
10/28/2013,Monday,2,252
10/29/2013,Tuesday,3,18
10/31/2013,Thursday,5,393
11/2/2013,Saturday,7,407
11/3/2013,Sunday,1,449
11/4/2013,Monday,2,308
11/5/2013,Tuesday,3,322
11/6/2013,Wednesday,4,300
11/7/2013,Thursday,5,343
11/8/2013,Friday,6,330
11/9/2013,Saturday,7,325
11/10/2013,Sunday,1,392
11/11/2013,Monday,2,292
11/12/2013,Tuesday,3,314
11/13/2013,Wednesday,4,247
11/14/2013,Thursday,5,222
11/15/2013,Friday,6,295
11/16/2013,Saturday,7,452
11/16/2013,Saturday,7,270
11/17/2013,Sunday,1,340
11/18/2013,Monday,2,333
11/19/2013,Tuesday,3,299
11/20/2013,Wednesday,4,249
11/21/2013,Thursday,5,379
11/22/2013,Friday,6,302
11/23/2013,Saturday,7,454
11/24/2013,Sunday,1,368
11/25/2013,Monday,2,366
11/27/2013,Wednesday,4,375
11/28/2013,Thursday,5,354
12/1/2013,Sunday,1,246
12/2/2013,Monday,2,355
12/3/2013,Tuesday,3,371
12/4/2013,Wednesday,4,292
12/5/2013,Thursday,5,410
12/6/2013,Friday,6,338
12/7/2013,Saturday,7,425
12/8/2013,Sunday,1,302
12/11/2013,Wednesday,4,318
12/12/2013,Thursday,5,342
12/14/2013,Saturday,7,378
12/15/2013,Sunday,1,422
12/16/2013,Monday,2,336
12/17/2013,Tuesday,3,368
12/18/2013,Wednesday,4,256
12/19/2013,Thursday,5,341
12/20/2013,Friday,6,309
12/21/2013,Saturday,7,404
12/22/2013,Sunday,1,362
12/23/2013,Monday,2,334
12/24/2013,Tuesday,3,382
12/25/2013,Wednesday,4,349
12/27/2013,Friday,6,404
12/28/2013,Saturday,7,427
12/29/2013,Sunday,1,467
12/30/2013,Monday,2,400
12/31/2013,Tuesday,3,429
1/1/2014,Wednesday,4,384
1/2/2014,Thursday,5,476
1/3/2014,Friday,6,403
1/4/2014,Saturday,7,387
1/5/2014,Sunday,1,415
1/6/2014,Monday,2,325
1/8/2014,Wednesday,4,293
1/9/2014,Thursday,5,307
1/10/2014,Friday,6,47
1/10/2014,Friday,6,265
1/11/2014,Saturday,7,388
1/16/2014,Thursday,5,381
1/17/2014,Friday,6,358
1/18/2014,Saturday,7,363
1/19/2014,Sunday,1,395
1/20/2014,Monday,2,373
1/21/2014,Tuesday,3,414
1/22/2014,Wednesday,4,366
1/23/2014,Thursday,5,357
1/24/2014,Friday,6,306
1/26/2014,Sunday,1,370
1/27/2014,Monday,2,373
1/28/2014,Tuesday,3,288
1/30/2014,Thursday,5,367
1/31/2014,Friday,6,39
1/31/2014,Friday,6,370
2/2/2014,Sunday,1,376
2/3/2014,Monday,2,337
2/4/2014,Tuesday,3,452
2/5/2014,Wednesday,4,409
2/6/2014,Thursday,5,364
2/7/2014,Friday,6,250
2/8/2014,Saturday,7,344
2/9/2014,Sunday,1,453
2/10/2014,Monday,2,330
2/11/2014,Tuesday,3,361
2/12/2014,Wednesday,4,260
2/13/2014,Thursday,5,532
2/14/2014,Friday,6,368
2/15/2014,Saturday,7,499
2/16/2014,Sunday,1,439
2/17/2014,Monday,2,359
2/18/2014,Tuesday,3,341
2/19/2014,Wednesday,4,328
2/20/2014,Thursday,5,367
2/21/2014,Friday,6,216
2/22/2014,Saturday,7,397
2/23/2014,Sunday,1,349
2/24/2014,Monday,2,294
2/25/2014,Tuesday,3,385
2/26/2014,Wednesday,4,340
2/27/2014,Thursday,5,335
2/28/2014,Friday,6,60
2/28/2014,Friday,6,341
3/1/2014,Saturday,7,459
3/2/2014,Sunday,1,364
3/3/2014,Monday,2,306
3/4/2014,Tuesday,3,323
3/5/2014,Wednesday,4,314
3/6/2014,Thursday,5,232
3/7/2014,Friday,6,411
3/8/2014,Saturday,7,429
3/9/2014,Sunday,1,505
3/10/2014,Monday,2,296
3/11/2014,Tuesday,3,76
3/11/2014,Tuesday,3,289
3/12/2014,Wednesday,4,311
3/13/2014,Thursday,5,338
3/14/2014,Friday,6,267
3/15/2014,Saturday,7,298
3/16/2014,Sunday,1,393
3/17/2014,Monday,2,324
3/19/2014,Wednesday,4,387
3/20/2014,Thursday,5,354
3/21/2014,Friday,6,27
3/21/2014,Friday,6,401
3/22/2014,Saturday,7,351
3/23/2014,Sunday,1,397
3/24/2014,Monday,2,315
3/25/2014,Tuesday,3,474
3/26/2014,Wednesday,4,346
3/27/2014,Thursday,5,356
3/28/2014,Friday,6,349
3/29/2014,Saturday,7,409
3/30/2014,Sunday,1,483
3/31/2014,Monday,2,313
4/1/2014,Tuesday,3,342
4/2/2014,Wednesday,4,343
4/3/2014,Thursday,5,431
4/4/2014,Friday,6,328
4/5/2014,Saturday,7,432
4/6/2014,Sunday,1,381
4/7/2014,Monday,2,326
4/8/2014,Tuesday,3,362
4/9/2014,Wednesday,4,410
4/10/2014,Thursday,5,345
4/11/2014,Friday,6,351
4/12/2014,Saturday,7,380
4/13/2014,Sunday,1,485
4/14/2014,Monday,2,296
