date,dayOfWeek,dayOfWeekNumber,steps
11/4/2013,Monday,2,7145
11/5/2013,Tuesday,3,5690
11/6/2013,Wednesday,4,9340
11/7/2013,Thursday,5,7674
11/8/2013,Friday,6,7045
11/9/2013,Saturday,7,6371
11/10/2013,Sunday,1,6852
11/11/2013,Monday,2,6158
11/12/2013,Tuesday,3,5460
11/13/2013,Wednesday,4,4216
11/14/2013,Thursday,5,7837
11/15/2013,Friday,6,5580
11/16/2013,Saturday,7,3243
11/17/2013,Sunday,1,7569
11/18/2013,Monday,2,5871
11/19/2013,Tuesday,3,5762
11/20/2013,Wednesday,4,5723
11/21/2013,Thursday,5,4931
11/22/2013,Friday,6,8160
11/23/2013,Saturday,7,4778
11/24/2013,Sunday,1,7904
11/25/2013,Monday,2,5351
11/26/2013,Tuesday,3,9925
11/27/2013,Wednesday,4,6198
11/28/2013,Thursday,5,7263
11/29/2013,Friday,6,6582
11/30/2013,Saturday,7,5443
12/1/2013,Sunday,1,5020
12/2/2013,Monday,2,6671
12/3/2013,Tuesday,3,5527
12/4/2013,Wednesday,4,4322
12/5/2013,Thursday,5,10362
12/6/2013,Friday,6,6183
12/7/2013,Saturday,7,6653
12/8/2013,Sunday,1,4027
12/9/2013,Monday,2,6913
12/10/2013,Tuesday,3,4734
12/11/2013,Wednesday,4,6961
12/12/2013,Thursday,5,3922
12/13/2013,Friday,6,5419
12/14/2013,Saturday,7,8819
12/15/2013,Sunday,1,4599
12/16/2013,Monday,2,6817
12/17/2013,Tuesday,3,9176
12/18/2013,Wednesday,4,8655
12/19/2013,Thursday,5,7640
12/20/2013,Friday,6,8401
12/21/2013,Saturday,7,4441
12/22/2013,Sunday,1,8919
12/23/2013,Monday,2,7633
12/24/2013,Tuesday,3,8513
12/25/2013,Wednesday,4,933
12/26/2013,Thursday,5,10553
12/27/2013,Friday,6,6536
12/28/2013,Saturday,7,11015
12/29/2013,Sunday,1,6517
12/30/2013,Monday,2,12251
12/31/2013,Tuesday,3,6825
1/1/2014,Wednesday,4,16555
1/2/2014,Thursday,5,11970
1/3/2014,Friday,6,13257
1/4/2014,Saturday,7,12737
1/5/2014,Sunday,1,12536
1/6/2014,Monday,2,11161
1/7/2014,Tuesday,3,5163
1/8/2014,Wednesday,4,8196
1/9/2014,Thursday,5,8525
1/10/2014,Friday,6,9864
1/11/2014,Saturday,7,5600
1/12/2014,Sunday,1,5017
1/13/2014,Monday,2,13139
1/14/2014,Tuesday,3,5524
1/15/2014,Wednesday,4,9516
1/16/2014,Thursday,5,5646
1/17/2014,Friday,6,4092
1/18/2014,Saturday,7,8992
1/19/2014,Sunday,1,6049
1/20/2014,Monday,2,7449
1/21/2014,Tuesday,3,6677
1/22/2014,Wednesday,4,6615
1/23/2014,Thursday,5,4622
1/24/2014,Friday,6,4351
1/25/2014,Saturday,7,5270
1/26/2014,Sunday,1,7036
1/27/2014,Monday,2,7874
1/28/2014,Tuesday,3,6835
1/29/2014,Wednesday,4,9922
1/30/2014,Thursday,5,5778
1/31/2014,Friday,6,9302
2/1/2014,Saturday,7,8763
2/2/2014,Sunday,1,5021
2/3/2014,Monday,2,5283
2/4/2014,Tuesday,3,6877
2/5/2014,Wednesday,4,7680
2/6/2014,Thursday,5,4437
2/7/2014,Friday,6,9601
2/8/2014,Saturday,7,6080
2/9/2014,Sunday,1,4543
2/10/2014,Monday,2,6802
2/11/2014,Tuesday,3,6201
2/12/2014,Wednesday,4,6273
2/13/2014,Thursday,5,7567
2/14/2014,Friday,6,5064
2/15/2014,Saturday,7,10744
2/16/2014,Sunday,1,16092
2/17/2014,Monday,2,14050
2/18/2014,Tuesday,3,5731
2/19/2014,Wednesday,4,7660
2/20/2014,Thursday,5,6016
2/21/2014,Friday,6,8685
2/22/2014,Saturday,7,11130
2/23/2014,Sunday,1,5366
2/24/2014,Monday,2,10198
2/25/2014,Tuesday,3,7509
2/26/2014,Wednesday,4,5707
2/27/2014,Thursday,5,19243
