date,dayOfWeek,dayOfWeekNumber,steps
8/2/2013,Friday,6,15931
8/3/2013,Saturday,7,7902
8/4/2013,Sunday,1,15369
8/5/2013,Monday,2,7345
8/6/2013,Tuesday,3,7189
8/7/2013,Wednesday,4,8568
8/8/2013,Thursday,5,10300
8/9/2013,Friday,6,10786
8/10/2013,Saturday,7,13472
8/11/2013,Sunday,1,9309
8/12/2013,Monday,2,4156
8/13/2013,Tuesday,3,4482
8/14/2013,Wednesday,4,4921
8/15/2013,Thursday,5,12334
8/16/2013,Friday,6,8961
8/17/2013,Saturday,7,7056
8/18/2013,Sunday,1,4465
8/19/2013,Monday,2,6260
8/20/2013,Tuesday,3,3498
8/21/2013,Wednesday,4,5710
8/22/2013,Thursday,5,5739
8/23/2013,Friday,6,4841
8/24/2013,Saturday,7,6253
8/25/2013,Sunday,1,13223
8/26/2013,Monday,2,6959
8/27/2013,Tuesday,3,6471
8/28/2013,Wednesday,4,4582
8/29/2013,Thursday,5,12279
8/30/2013,Friday,6,11452
8/31/2013,Saturday,7,8906
9/1/2013,Sunday,1,6345
9/2/2013,Monday,2,5398
9/3/2013,Tuesday,3,11123
9/4/2013,Wednesday,4,11267
9/5/2013,Thursday,5,13891
9/6/2013,Friday,6,11329
9/7/2013,Saturday,7,7507
9/8/2013,Sunday,1,9941
9/9/2013,Monday,2,10388
9/10/2013,Tuesday,3,11627
9/11/2013,Wednesday,4,9929
9/12/2013,Thursday,5,11524
9/13/2013,Friday,6,11625
9/14/2013,Saturday,7,10271
9/15/2013,Sunday,1,3055
9/16/2013,Monday,2,12204
9/17/2013,Tuesday,3,2111
9/18/2013,Wednesday,4,12995
9/19/2013,Thursday,5,14197
9/20/2013,Friday,6,12019
9/21/2013,Saturday,7,5659
9/22/2013,Sunday,1,7679
9/23/2013,Monday,2,10591
9/24/2013,Tuesday,3,10776
9/25/2013,Wednesday,4,13765
9/26/2013,Thursday,5,12713
9/27/2013,Friday,6,13173
9/28/2013,Saturday,7,2347
9/29/2013,Sunday,1,3018
9/30/2013,Monday,2,8260
10/1/2013,Tuesday,3,10637
10/2/2013,Wednesday,4,139
10/3/2013,Thursday,5,122
10/4/2013,Friday,6,11782
10/5/2013,Saturday,7,5660
10/6/2013,Sunday,1,7677
10/7/2013,Monday,2,12184
10/8/2013,Tuesday,3,11604
10/9/2013,Wednesday,4,11417
10/10/2013,Thursday,5,9727
10/11/2013,Friday,6,11803
10/12/2013,Saturday,7,5025
10/13/2013,Sunday,1,11247
10/14/2013,Monday,2,11508
10/15/2013,Tuesday,3,11983
10/16/2013,Wednesday,4,14708
10/17/2013,Thursday,5,12974
10/18/2013,Friday,6,12765
10/19/2013,Saturday,7,6265
10/20/2013,Sunday,1,2765
10/21/2013,Monday,2,11297
10/22/2013,Tuesday,3,10176
10/23/2013,Wednesday,4,12687
