date,dayOfWeek,dayOfWeekNumber,steps
4/26/2015,Sunday,1,5290
4/27/2015,Monday,2,12172
4/28/2015,Tuesday,3,8221
4/29/2015,Wednesday,4,8350
4/30/2015,Thursday,5,5916
5/1/2015,Friday,6,8933
5/2/2015,Saturday,7,7555
5/3/2015,Sunday,1,5001
5/4/2015,Monday,2,7958
5/5/2015,Tuesday,3,8500
5/6/2015,Wednesday,4,8796
5/7/2015,Thursday,5,6653
5/8/2015,Friday,6,11435
5/9/2015,Saturday,7,2218
5/10/2015,Sunday,1,1207
5/11/2015,Monday,2,9272
5/12/2015,Tuesday,3,9345
5/13/2015,Wednesday,4,9333
5/14/2015,Thursday,5,6614
5/15/2015,Friday,6,9815
5/16/2015,Saturday,7,6379
5/17/2015,Sunday,1,2331
5/18/2015,Monday,2,12382
5/19/2015,Tuesday,3,10571
5/20/2015,Wednesday,4,8444
5/21/2015,Thursday,5,6208
5/22/2015,Friday,6,9721
5/23/2015,Saturday,7,2074
5/24/2015,Sunday,1,5774
5/25/2015,Monday,2,4699
5/26/2015,Tuesday,3,8474
5/27/2015,Wednesday,4,7404
5/28/2015,Thursday,5,6920
5/29/2015,Friday,6,9389
5/30/2015,Saturday,7,6456
5/31/2015,Sunday,1,8849
6/1/2015,Monday,2,8139
6/2/2015,Tuesday,3,6450
6/3/2015,Wednesday,4,11580
6/4/2015,Thursday,5,8484
6/5/2015,Friday,6,
6/6/2015,Saturday,7,
6/7/2015,Sunday,1,
6/8/2015,Monday,2,
6/9/2015,Tuesday,3,
6/10/2015,Wednesday,4,
6/11/2015,Thursday,5,5839
6/12/2015,Friday,6,8085
6/13/2015,Saturday,7,2634
6/14/2015,Sunday,1,1011
6/15/2015,Monday,2,4935
6/16/2015,Tuesday,3,4190
6/17/2015,Wednesday,4,5726
6/18/2015,Thursday,5,4997
6/19/2015,Friday,6,6026
6/20/2015,Saturday,7,4978
6/21/2015,Sunday,1,3638
6/22/2015,Monday,2,4300
6/23/2015,Tuesday,3,4184
6/24/2015,Wednesday,4,4671
6/25/2015,Thursday,5,4756
6/26/2015,Friday,6,4212
6/27/2015,Saturday,7,4024
6/28/2015,Sunday,1,4259
6/29/2015,Monday,2,4212
6/30/2015,Tuesday,3,3659
7/1/2015,Wednesday,4,4748
7/2/2015,Thursday,5,2760
7/3/2015,Friday,6,6369
7/4/2015,Saturday,7,11364
7/5/2015,Sunday,1,7560
7/6/2015,Monday,2,5097
7/7/2015,Tuesday,3,5612
7/8/2015,Wednesday,4,6498
7/9/2015,Thursday,5,5678
7/10/2015,Friday,6,5531
7/11/2015,Saturday,7,6598
7/12/2015,Sunday,1,4531
7/13/2015,Monday,2,7104
7/14/2015,Tuesday,3,4516
7/15/2015,Wednesday,4,4874
7/16/2015,Thursday,5,3664
7/17/2015,Friday,6,4193
7/18/2015,Saturday,7,6545
7/19/2015,Sunday,1,6244
7/20/2015,Monday,2,4650
7/21/2015,Tuesday,3,3486
7/22/2015,Wednesday,4,4507
7/23/2015,Thursday,5,3811
7/24/2015,Friday,6,3725
7/25/2015,Saturday,7,4188
7/26/2015,Sunday,1,7385
7/27/2015,Monday,2,3847
7/28/2015,Tuesday,3,6492
7/29/2015,Wednesday,4,4291
7/30/2015,Thursday,5,4446
7/31/2015,Friday,6,6354
8/1/2015,Saturday,7,4326
8/2/2015,Sunday,1,3552
8/3/2015,Monday,2,8668
8/4/2015,Tuesday,3,9000
8/5/2015,Wednesday,4,12692
8/6/2015,Thursday,5,1402
8/7/2015,Friday,6,12666
8/8/2015,Saturday,7,15208
8/9/2015,Sunday,1,9822
8/10/2015,Monday,2,1884
8/11/2015,Tuesday,3,3231
8/12/2015,Wednesday,4,3699
8/13/2015,Thursday,5,7432
8/14/2015,Friday,6,5499
8/15/2015,Saturday,7,7740
8/16/2015,Sunday,1,6227
8/17/2015,Monday,2,2324
8/18/2015,Tuesday,3,9014
8/19/2015,Wednesday,4,5925
8/20/2015,Thursday,5,1919
8/21/2015,Friday,6,9123
8/22/2015,Saturday,7,7004
8/23/2015,Sunday,1,6211
8/24/2015,Monday,2,7356
8/25/2015,Tuesday,3,6520
8/26/2015,Wednesday,4,5959
8/27/2015,Thursday,5,10093
8/28/2015,Friday,6,7976
8/29/2015,Saturday,7,3611
8/30/2015,Sunday,1,3953
8/31/2015,Monday,2,9088
9/1/2015,Tuesday,3,7841
9/2/2015,Wednesday,4,6667
9/3/2015,Thursday,5,8153
9/4/2015,Friday,6,9476
9/5/2015,Saturday,7,3059
9/6/2015,Sunday,1,11929
9/7/2015,Monday,2,14167
9/8/2015,Tuesday,3,8358
9/9/2015,Wednesday,4,5489
9/10/2015,Thursday,5,5738
9/11/2015,Friday,6,6989
9/12/2015,Saturday,7,3892
9/13/2015,Sunday,1,2956
9/14/2015,Monday,2,5895
9/15/2015,Tuesday,3,6537
9/16/2015,Wednesday,4,4543
9/17/2015,Thursday,5,7823
9/18/2015,Friday,6,9692
9/19/2015,Saturday,7,4059
9/20/2015,Sunday,1,3095
9/21/2015,Monday,2,5047
9/22/2015,Tuesday,3,7063
9/23/2015,Wednesday,4,4843
9/24/2015,Thursday,5,11409
9/25/2015,Friday,6,13489
9/26/2015,Saturday,7,2734
9/27/2015,Sunday,1,3539
9/28/2015,Monday,2,3850
9/29/2015,Tuesday,3,7984
9/30/2015,Wednesday,4,5511
10/1/2015,Thursday,5,8423
10/2/2015,Friday,6,9369
10/3/2015,Saturday,7,1173
10/4/2015,Sunday,1,1097
10/5/2015,Monday,2,8872
10/6/2015,Tuesday,3,7374
10/7/2015,Wednesday,4,4806
10/8/2015,Thursday,5,8347
10/9/2015,Friday,6,9166
10/10/2015,Saturday,7,3317
10/11/2015,Sunday,1,6106
10/12/2015,Monday,2,9291
10/13/2015,Tuesday,3,8607
10/14/2015,Wednesday,4,6105
10/15/2015,Thursday,5,7858
10/16/2015,Friday,6,9399
10/17/2015,Saturday,7,4555
10/18/2015,Sunday,1,11483
10/19/2015,Monday,2,12783
10/20/2015,Tuesday,3,16619
10/21/2015,Wednesday,4,11181
10/22/2015,Thursday,5,16910
10/23/2015,Friday,6,14947
10/24/2015,Saturday,7,6663
10/25/2015,Sunday,1,3833
10/26/2015,Monday,2,1383
10/27/2015,Tuesday,3,7026
10/28/2015,Wednesday,4,4914
10/29/2015,Thursday,5,7235
10/30/2015,Friday,6,8050
10/31/2015,Saturday,7,7762
11/1/2015,Sunday,1,2305
11/2/2015,Monday,2,7510
11/3/2015,Tuesday,3,10514
11/4/2015,Wednesday,4,10440
11/5/2015,Thursday,5,8313
11/6/2015,Friday,6,8322
11/7/2015,Saturday,7,8140
11/8/2015,Sunday,1,3060
11/9/2015,Monday,2,6668
11/10/2015,Tuesday,3,6669
11/11/2015,Wednesday,4,6296
11/12/2015,Thursday,5,6820
11/13/2015,Friday,6,9136
11/14/2015,Saturday,7,3729
11/15/2015,Sunday,1,4315
11/16/2015,Monday,2,8263
11/17/2015,Tuesday,3,7742
11/18/2015,Wednesday,4,4444
11/19/2015,Thursday,5,8474
11/20/2015,Friday,6,8274
11/21/2015,Saturday,7,
11/22/2015,Sunday,1,
11/23/2015,Monday,2,
11/24/2015,Tuesday,3,
11/25/2015,Wednesday,4,
11/26/2015,Thursday,5,
11/27/2015,Friday,6,
11/28/2015,Saturday,7,
11/29/2015,Sunday,1,
11/30/2015,Monday,2,7375
12/1/2015,Tuesday,3,7617
12/2/2015,Wednesday,4,4654
12/3/2015,Thursday,5,10045
12/4/2015,Friday,6,6197
12/5/2015,Saturday,7,874
12/6/2015,Sunday,1,3844
12/7/2015,Monday,2,7706
12/8/2015,Tuesday,3,7974
12/9/2015,Wednesday,4,5127
12/10/2015,Thursday,5,8590
12/11/2015,Friday,6,6124
12/12/2015,Saturday,7,2095
12/13/2015,Sunday,1,1944
12/14/2015,Monday,2,8434
12/15/2015,Tuesday,3,8091
12/16/2015,Wednesday,4,3923
12/17/2015,Thursday,5,4463
12/18/2015,Friday,6,3690
12/19/2015,Saturday,7,4084
12/20/2015,Sunday,1,1199
12/21/2015,Monday,2,1837
12/22/2015,Tuesday,3,5044
12/23/2015,Wednesday,4,2104
12/24/2015,Thursday,5,1691
12/25/2015,Friday,6,7185
12/26/2015,Saturday,7,6241
12/27/2015,Sunday,1,7931
12/28/2015,Monday,2,9466
12/29/2015,Tuesday,3,6034
12/30/2015,Wednesday,4,4848
12/31/2015,Thursday,5,4910
1/1/2016,Friday,6,5518
1/2/2016,Saturday,7,2930
1/3/2016,Sunday,1,6990
1/4/2016,Monday,2,6454
1/5/2016,Tuesday,3,7055
1/6/2016,Wednesday,4,6102
1/7/2016,Thursday,5,8257
1/8/2016,Friday,6,7383
1/9/2016,Saturday,7,1651
1/10/2016,Sunday,1,930
1/11/2016,Monday,2,7550
1/12/2016,Tuesday,3,7953
1/13/2016,Wednesday,4,6747
1/14/2016,Thursday,5,7305
1/15/2016,Friday,6,8070
1/16/2016,Saturday,7,2378
1/17/2016,Sunday,1,1975
1/18/2016,Monday,2,1878
1/19/2016,Tuesday,3,7136
1/20/2016,Wednesday,4,5884
1/21/2016,Thursday,5,5022
1/22/2016,Friday,6,10163
1/23/2016,Saturday,7,3216
1/24/2016,Sunday,1,1007
1/25/2016,Monday,2,7357
1/26/2016,Tuesday,3,8028
1/27/2016,Wednesday,4,4479
1/28/2016,Thursday,5,5744
1/29/2016,Friday,6,7837
1/30/2016,Saturday,7,3060
1/31/2016,Sunday,1,5627
2/1/2016,Monday,2,9910
2/2/2016,Tuesday,3,6925
2/3/2016,Wednesday,4,5216
2/4/2016,Thursday,5,4830
2/5/2016,Friday,6,10540
2/6/2016,Saturday,7,7469
2/7/2016,Sunday,1,6628
2/8/2016,Monday,2,4102
2/9/2016,Tuesday,3,7137
2/10/2016,Wednesday,4,5757
2/11/2016,Thursday,5,8478
2/12/2016,Friday,6,6643
2/13/2016,Saturday,7,1781
2/14/2016,Sunday,1,2477
2/15/2016,Monday,2,4153
2/16/2016,Tuesday,3,7029
2/17/2016,Wednesday,4,4916
2/18/2016,Thursday,5,5043
2/19/2016,Friday,6,7891
2/20/2016,Saturday,7,793
2/21/2016,Sunday,1,1179
2/22/2016,Monday,2,8657
2/23/2016,Tuesday,3,8856
2/24/2016,Wednesday,4,7593
2/25/2016,Thursday,5,5287
2/26/2016,Friday,6,9407
2/27/2016,Saturday,7,5607
2/28/2016,Sunday,1,3327
2/29/2016,Monday,2,8499
3/1/2016,Tuesday,3,8635
3/2/2016,Wednesday,4,6062
3/3/2016,Thursday,5,5198
3/4/2016,Friday,6,7240
3/5/2016,Saturday,7,2154
3/6/2016,Sunday,1,1123
3/7/2016,Monday,2,6891
3/8/2016,Tuesday,3,7544
3/9/2016,Wednesday,4,5230
3/10/2016,Thursday,5,4934
3/11/2016,Friday,6,6599
3/12/2016,Saturday,7,2533
3/13/2016,Sunday,1,1232
3/14/2016,Monday,2,8170
3/15/2016,Tuesday,3,8705
3/16/2016,Wednesday,4,5830
3/17/2016,Thursday,5,5926
3/18/2016,Friday,6,11516
3/19/2016,Saturday,7,2735
3/20/2016,Sunday,1,2622
3/21/2016,Monday,2,7413
3/22/2016,Tuesday,3,11089
3/23/2016,Wednesday,4,6923
3/24/2016,Thursday,5,6254
3/25/2016,Friday,6,6874
3/26/2016,Saturday,7,8158
3/27/2016,Sunday,1,4584
3/28/2016,Monday,2,1059
3/29/2016,Tuesday,3,2290
3/30/2016,Wednesday,4,1990
3/31/2016,Thursday,5,4720
4/1/2016,Friday,6,2407
4/2/2016,Saturday,7,7716
4/3/2016,Sunday,1,6497
4/4/2016,Monday,2,8319
4/5/2016,Tuesday,3,8662
4/6/2016,Wednesday,4,5947
4/7/2016,Thursday,5,7261
4/8/2016,Friday,6,9499
4/9/2016,Saturday,7,6314
4/10/2016,Sunday,1,1483
4/11/2016,Monday,2,8370
4/12/2016,Tuesday,3,9059
4/13/2016,Wednesday,4,5781
4/14/2016,Thursday,5,5031
4/15/2016,Friday,6,8531
4/16/2016,Saturday,7,6942
4/17/2016,Sunday,1,8889
4/18/2016,Monday,2,7664
4/19/2016,Tuesday,3,7070
4/20/2016,Wednesday,4,8592
4/21/2016,Thursday,5,8669
4/22/2016,Friday,6,8675
4/23/2016,Saturday,7,6289
4/24/2016,Sunday,1,9584
4/25/2016,Monday,2,7880
4/26/2016,Tuesday,3,10249
4/27/2016,Wednesday,4,5455
4/28/2016,Thursday,5,6005
4/29/2016,Friday,6,7884
4/30/2016,Saturday,7,3375
5/1/2016,Sunday,1,6832
5/2/2016,Monday,2,11328
5/3/2016,Tuesday,3,7670
5/4/2016,Wednesday,4,4822
5/5/2016,Thursday,5,5327
5/6/2016,Friday,6,10279
5/7/2016,Saturday,7,6213
5/8/2016,Sunday,1,4245
5/9/2016,Monday,2,1225
5/10/2016,Tuesday,3,
5/11/2016,Wednesday,4,
5/12/2016,Thursday,5,
5/13/2016,Friday,6,
5/14/2016,Saturday,7,
5/15/2016,Sunday,1,
5/16/2016,Monday,2,
5/17/2016,Tuesday,3,
5/18/2016,Wednesday,4,
5/19/2016,Thursday,5,
5/20/2016,Friday,6,
5/21/2016,Saturday,7,
5/22/2016,Sunday,1,
5/23/2016,Monday,2,
5/24/2016,Tuesday,3,
5/25/2016,Wednesday,4,
5/26/2016,Thursday,5,
5/27/2016,Friday,6,
5/28/2016,Saturday,7,
5/29/2016,Sunday,1,
5/30/2016,Monday,2,
5/31/2016,Tuesday,3,
6/1/2016,Wednesday,4,
6/2/2016,Thursday,5,
6/3/2016,Friday,6,
6/4/2016,Saturday,7,
6/5/2016,Sunday,1,
6/6/2016,Monday,2,
6/7/2016,Tuesday,3,
6/8/2016,Wednesday,4,
6/9/2016,Thursday,5,
6/10/2016,Friday,6,
6/11/2016,Saturday,7,
6/12/2016,Sunday,1,
6/13/2016,Monday,2,
6/14/2016,Tuesday,3,
6/15/2016,Wednesday,4,
6/16/2016,Thursday,5,
6/17/2016,Friday,6,
6/18/2016,Saturday,7,
6/19/2016,Sunday,1,
6/20/2016,Monday,2,
6/21/2016,Tuesday,3,
6/22/2016,Wednesday,4,
6/23/2016,Thursday,5,
6/24/2016,Friday,6,
6/25/2016,Saturday,7,
6/26/2016,Sunday,1,
6/27/2016,Monday,2,
6/28/2016,Tuesday,3,
6/29/2016,Wednesday,4,
6/30/2016,Thursday,5,
7/1/2016,Friday,6,
7/2/2016,Saturday,7,
7/3/2016,Sunday,1,
7/4/2016,Monday,2,
7/5/2016,Tuesday,3,
7/6/2016,Wednesday,4,
7/7/2016,Thursday,5,
7/8/2016,Friday,6,
7/9/2016,Saturday,7,
7/10/2016,Sunday,1,
7/11/2016,Monday,2,
7/12/2016,Tuesday,3,
7/13/2016,Wednesday,4,
7/14/2016,Thursday,5,
7/15/2016,Friday,6,
7/16/2016,Saturday,7,
7/17/2016,Sunday,1,
7/18/2016,Monday,2,
7/19/2016,Tuesday,3,
7/20/2016,Wednesday,4,
7/21/2016,Thursday,5,
7/22/2016,Friday,6,
7/23/2016,Saturday,7,
7/24/2016,Sunday,1,
7/25/2016,Monday,2,
7/26/2016,Tuesday,3,
7/27/2016,Wednesday,4,
7/28/2016,Thursday,5,
7/29/2016,Friday,6,
7/30/2016,Saturday,7,
7/31/2016,Sunday,1,
8/1/2016,Monday,2,
8/2/2016,Tuesday,3,
8/3/2016,Wednesday,4,
8/4/2016,Thursday,5,
8/5/2016,Friday,6,
8/6/2016,Saturday,7,
8/7/2016,Sunday,1,
8/8/2016,Monday,2,
8/9/2016,Tuesday,3,
8/10/2016,Wednesday,4,
8/11/2016,Thursday,5,
8/12/2016,Friday,6,
8/13/2016,Saturday,7,
8/14/2016,Sunday,1,
8/15/2016,Monday,2,
8/16/2016,Tuesday,3,
8/17/2016,Wednesday,4,
8/18/2016,Thursday,5,
8/19/2016,Friday,6,
8/20/2016,Saturday,7,
8/21/2016,Sunday,1,
8/22/2016,Monday,2,
8/23/2016,Tuesday,3,
8/24/2016,Wednesday,4,
8/25/2016,Thursday,5,
8/26/2016,Friday,6,
8/27/2016,Saturday,7,
8/28/2016,Sunday,1,
8/29/2016,Monday,2,
8/30/2016,Tuesday,3,
8/31/2016,Wednesday,4,
9/1/2016,Thursday,5,
9/2/2016,Friday,6,
9/3/2016,Saturday,7,
9/4/2016,Sunday,1,
9/5/2016,Monday,2,
9/6/2016,Tuesday,3,
9/7/2016,Wednesday,4,
9/8/2016,Thursday,5,
9/9/2016,Friday,6,
9/10/2016,Saturday,7,
9/11/2016,Sunday,1,
9/12/2016,Monday,2,
9/13/2016,Tuesday,3,
9/14/2016,Wednesday,4,
9/15/2016,Thursday,5,
9/16/2016,Friday,6,
9/17/2016,Saturday,7,
9/18/2016,Sunday,1,
9/19/2016,Monday,2,
9/20/2016,Tuesday,3,
9/21/2016,Wednesday,4,
9/22/2016,Thursday,5,
9/23/2016,Friday,6,
9/24/2016,Saturday,7,
9/25/2016,Sunday,1,
9/26/2016,Monday,2,
9/27/2016,Tuesday,3,
9/28/2016,Wednesday,4,
9/29/2016,Thursday,5,
9/30/2016,Friday,6,
10/1/2016,Saturday,7,
10/2/2016,Sunday,1,
10/3/2016,Monday,2,
10/4/2016,Tuesday,3,
10/5/2016,Wednesday,4,
10/6/2016,Thursday,5,
10/7/2016,Friday,6,
10/8/2016,Saturday,7,
10/9/2016,Sunday,1,
10/10/2016,Monday,2,
10/11/2016,Tuesday,3,
10/12/2016,Wednesday,4,
10/13/2016,Thursday,5,
10/14/2016,Friday,6,
10/15/2016,Saturday,7,
10/16/2016,Sunday,1,
10/17/2016,Monday,2,
10/18/2016,Tuesday,3,
10/19/2016,Wednesday,4,
10/20/2016,Thursday,5,
10/21/2016,Friday,6,
10/22/2016,Saturday,7,
10/23/2016,Sunday,1,
10/24/2016,Monday,2,
10/25/2016,Tuesday,3,
10/26/2016,Wednesday,4,
10/27/2016,Thursday,5,
10/28/2016,Friday,6,
10/29/2016,Saturday,7,
10/30/2016,Sunday,1,
10/31/2016,Monday,2,
11/1/2016,Tuesday,3,
11/2/2016,Wednesday,4,
11/3/2016,Thursday,5,
11/4/2016,Friday,6,
11/5/2016,Saturday,7,
11/6/2016,Sunday,1,
11/7/2016,Monday,2,
11/8/2016,Tuesday,3,
11/9/2016,Wednesday,4,
11/10/2016,Thursday,5,
11/11/2016,Friday,6,
11/12/2016,Saturday,7,
11/13/2016,Sunday,1,
11/14/2016,Monday,2,
11/15/2016,Tuesday,3,
11/16/2016,Wednesday,4,
11/17/2016,Thursday,5,
11/18/2016,Friday,6,7690
11/19/2016,Saturday,7,7683
11/20/2016,Sunday,1,5455
11/21/2016,Monday,2,3901
11/22/2016,Tuesday,3,1088
11/23/2016,Wednesday,4,4582
11/24/2016,Thursday,5,12316
11/25/2016,Friday,6,5990
11/26/2016,Saturday,7,1604
11/27/2016,Sunday,1,7176
11/28/2016,Monday,2,1324
11/29/2016,Tuesday,3,8134
11/30/2016,Wednesday,4,6999
12/1/2016,Thursday,5,7337
12/2/2016,Friday,6,6358
12/3/2016,Saturday,7,8167
12/4/2016,Sunday,1,3140
12/5/2016,Monday,2,1074
12/6/2016,Tuesday,3,7960
12/7/2016,Wednesday,4,8266
12/8/2016,Thursday,5,4777
12/9/2016,Friday,6,7525
12/10/2016,Saturday,7,7783
12/11/2016,Sunday,1,3431
12/12/2016,Monday,2,3069
12/13/2016,Tuesday,3,8864
12/14/2016,Wednesday,4,8652
12/15/2016,Thursday,5,5697
12/16/2016,Friday,6,4221
12/17/2016,Saturday,7,3967
12/18/2016,Sunday,1,4210
12/19/2016,Monday,2,4141
12/20/2016,Tuesday,3,3308
12/21/2016,Wednesday,4,3308
12/22/2016,Thursday,5,3150
12/23/2016,Friday,6,2371
12/24/2016,Saturday,7,3169
12/25/2016,Sunday,1,9513
12/26/2016,Monday,2,9189
12/27/2016,Tuesday,3,9475
12/28/2016,Wednesday,4,9454
12/29/2016,Thursday,5,8021
12/30/2016,Friday,6,13361
12/31/2016,Saturday,7,13361
1/1/2017,Sunday,1,7351
1/2/2017,Monday,2,2488
1/3/2017,Tuesday,3,
1/4/2017,Wednesday,4,
1/5/2017,Thursday,5,
1/6/2017,Friday,6,
1/7/2017,Saturday,7,
1/8/2017,Sunday,1,
1/9/2017,Monday,2,6743
1/10/2017,Tuesday,3,7788
1/11/2017,Wednesday,4,5607
1/12/2017,Thursday,5,8975
1/13/2017,Friday,6,9881
1/14/2017,Saturday,7,808
1/15/2017,Sunday,1,2433
1/16/2017,Monday,2,347
1/17/2017,Tuesday,3,10102
1/18/2017,Wednesday,4,4616
1/19/2017,Thursday,5,5649
1/20/2017,Friday,6,7402
1/21/2017,Saturday,7,4246
1/22/2017,Sunday,1,947
1/23/2017,Monday,2,8838
1/24/2017,Tuesday,3,8106
1/25/2017,Wednesday,4,6965
1/26/2017,Thursday,5,5195
1/27/2017,Friday,6,7473
1/28/2017,Saturday,7,3399
1/29/2017,Sunday,1,711
1/30/2017,Monday,2,4449
1/31/2017,Tuesday,3,9733
2/1/2017,Wednesday,4,4606
2/2/2017,Thursday,5,4941
2/3/2017,Friday,6,6520
2/4/2017,Saturday,7,1055
2/5/2017,Sunday,1,5546
2/6/2017,Monday,2,5009
2/7/2017,Tuesday,3,6031
2/8/2017,Wednesday,4,4824
2/9/2017,Thursday,5,4896
2/10/2017,Friday,6,6360
2/11/2017,Saturday,7,5420
2/12/2017,Sunday,1,10173
2/13/2017,Monday,2,2885
2/14/2017,Tuesday,3,4909
2/15/2017,Wednesday,4,839
2/16/2017,Thursday,5,3991
2/17/2017,Friday,6,5816
2/18/2017,Saturday,7,5822
2/19/2017,Sunday,1,6456
2/20/2017,Monday,2,3752
2/21/2017,Tuesday,3,4737
2/22/2017,Wednesday,4,4505
2/23/2017,Thursday,5,6456
2/24/2017,Friday,6,5443
2/25/2017,Saturday,7,1688
2/26/2017,Sunday,1,4588
2/27/2017,Monday,2,5104
2/28/2017,Tuesday,3,5048
3/1/2017,Wednesday,4,5065
3/2/2017,Thursday,5,5802
3/3/2017,Friday,6,906
3/4/2017,Saturday,7,
3/5/2017,Sunday,1,
3/6/2017,Monday,2,
3/7/2017,Tuesday,3,
3/8/2017,Wednesday,4,
3/9/2017,Thursday,5,
3/10/2017,Friday,6,
3/11/2017,Saturday,7,
3/12/2017,Sunday,1,
3/13/2017,Monday,2,
3/14/2017,Tuesday,3,
3/15/2017,Wednesday,4,
3/16/2017,Thursday,5,
3/17/2017,Friday,6,
3/18/2017,Saturday,7,
3/19/2017,Sunday,1,
3/20/2017,Monday,2,
3/21/2017,Tuesday,3,
3/22/2017,Wednesday,4,
3/23/2017,Thursday,5,
3/24/2017,Friday,6,
3/25/2017,Saturday,7,
3/26/2017,Sunday,1,
3/27/2017,Monday,2,6131
3/28/2017,Tuesday,3,5704
3/29/2017,Wednesday,4,4805
3/30/2017,Thursday,5,1085
3/31/2017,Friday,6,5875
4/1/2017,Saturday,7,3351
4/2/2017,Sunday,1,4052
4/3/2017,Monday,2,2738
4/4/2017,Tuesday,3,5696
4/5/2017,Wednesday,4,6073
4/6/2017,Thursday,5,2594
4/7/2017,Friday,6,3217
4/8/2017,Saturday,7,4410
4/9/2017,Sunday,1,5237
4/10/2017,Monday,2,8835
4/11/2017,Tuesday,3,11283
4/12/2017,Wednesday,4,5338
4/13/2017,Thursday,5,6716
4/14/2017,Friday,6,8490
4/15/2017,Saturday,7,4100
4/16/2017,Sunday,1,3546
4/17/2017,Monday,2,9714
4/18/2017,Tuesday,3,10407
4/19/2017,Wednesday,4,4885
4/20/2017,Thursday,5,6373
4/21/2017,Friday,6,11012
4/22/2017,Saturday,7,6315
4/23/2017,Sunday,1,2637
4/24/2017,Monday,2,6935
4/25/2017,Tuesday,3,7158
4/26/2017,Wednesday,4,7142
4/27/2017,Thursday,5,6401
4/28/2017,Friday,6,9918
4/29/2017,Saturday,7,3633
4/30/2017,Sunday,1,3379
5/1/2017,Monday,2,7302
5/2/2017,Tuesday,3,7914
5/3/2017,Wednesday,4,4735
5/4/2017,Thursday,5,5475
5/5/2017,Friday,6,8277
5/6/2017,Saturday,7,1524
5/7/2017,Sunday,1,1495
5/8/2017,Monday,2,5695
5/9/2017,Tuesday,3,4843
5/10/2017,Wednesday,4,9824
5/11/2017,Thursday,5,7105
5/12/2017,Friday,6,8428
5/13/2017,Saturday,7,8056
5/14/2017,Sunday,1,2420
5/15/2017,Monday,2,7628
5/16/2017,Tuesday,3,7871
5/17/2017,Wednesday,4,5743
5/18/2017,Thursday,5,6336
5/19/2017,Friday,6,10060
5/20/2017,Saturday,7,607
5/21/2017,Sunday,1,8373
5/22/2017,Monday,2,8570
5/23/2017,Tuesday,3,7145
5/24/2017,Wednesday,4,5804
5/25/2017,Thursday,5,13845
5/26/2017,Friday,6,8908
5/27/2017,Saturday,7,5166
5/28/2017,Sunday,1,1388
5/29/2017,Monday,2,6397
5/30/2017,Tuesday,3,8835
5/31/2017,Wednesday,4,5944
6/1/2017,Thursday,5,5611
6/2/2017,Friday,6,7999
6/3/2017,Saturday,7,4417
6/4/2017,Sunday,1,5678
6/5/2017,Monday,2,6871
6/6/2017,Tuesday,3,3234
6/7/2017,Wednesday,4,4244
6/8/2017,Thursday,5,6896
6/9/2017,Friday,6,9001
6/10/2017,Saturday,7,3157
6/11/2017,Sunday,1,3149
6/12/2017,Monday,2,9196
6/13/2017,Tuesday,3,8615
6/14/2017,Wednesday,4,9560
6/15/2017,Thursday,5,15995
6/16/2017,Friday,6,10696
6/17/2017,Saturday,7,7795
6/18/2017,Sunday,1,3130
6/19/2017,Monday,2,1814
6/20/2017,Tuesday,3,5256
6/21/2017,Wednesday,4,8498
6/22/2017,Thursday,5,10812
6/23/2017,Friday,6,3069
6/24/2017,Saturday,7,4340
6/25/2017,Sunday,1,2743
6/26/2017,Monday,2,2834
6/27/2017,Tuesday,3,2831
6/28/2017,Wednesday,4,7541
6/29/2017,Thursday,5,8232
6/30/2017,Friday,6,8564
7/1/2017,Saturday,7,3712
7/2/2017,Sunday,1,3092
7/3/2017,Monday,2,2675
7/4/2017,Tuesday,3,6348
7/5/2017,Wednesday,4,4331
7/6/2017,Thursday,5,1051
7/7/2017,Friday,6,2069
7/8/2017,Saturday,7,3170
7/9/2017,Sunday,1,4177
7/10/2017,Monday,2,3090
7/11/2017,Tuesday,3,5694
7/12/2017,Wednesday,4,1657
7/13/2017,Thursday,5,1698
7/14/2017,Friday,6,3320
7/15/2017,Saturday,7,1475
7/16/2017,Sunday,1,3472
7/17/2017,Monday,2,2758
7/18/2017,Tuesday,3,4937
7/19/2017,Wednesday,4,3511
7/20/2017,Thursday,5,4240
7/21/2017,Friday,6,1418
7/22/2017,Saturday,7,3318
7/23/2017,Sunday,1,5777
7/24/2017,Monday,2,1910
7/25/2017,Tuesday,3,4852
7/26/2017,Wednesday,4,4398
7/27/2017,Thursday,5,2110
7/28/2017,Friday,6,3724
7/29/2017,Saturday,7,1434
7/30/2017,Sunday,1,3312
7/31/2017,Monday,2,3809
8/1/2017,Tuesday,3,10024
8/2/2017,Wednesday,4,6815
8/3/2017,Thursday,5,7091
8/4/2017,Friday,6,7770
8/5/2017,Saturday,7,1176
8/6/2017,Sunday,1,4120
8/7/2017,Monday,2,5961
8/8/2017,Tuesday,3,3676
8/9/2017,Wednesday,4,1479
8/10/2017,Thursday,5,2741
8/11/2017,Friday,6,4111
8/12/2017,Saturday,7,11274
8/13/2017,Sunday,1,4069
8/14/2017,Monday,2,1543
8/15/2017,Tuesday,3,2196
8/16/2017,Wednesday,4,1545
8/17/2017,Thursday,5,3038
8/18/2017,Friday,6,4971
8/19/2017,Saturday,7,6138
8/20/2017,Sunday,1,8083
8/21/2017,Monday,2,882
8/22/2017,Tuesday,3,8866
